============================================================
ALGORITHM: FedProx
PAPER: FedProx (MLSys 2020)
CONFIG: {'device': 'cpu', 'seed': 0, 'show_plots': False, 'results_path': 'D:\\论文-联邦学习\\联邦学习代码', 'data_path': 'D:\\论文-联邦学习\\联邦学习代码\\data', 'optimizer_momentum': 0.0, 'server_momentum_beta': 0.0, 'server_nesterov': False, 'client_nesterov': False, 'participation_mode': 'fixed', 'lr_decay_per_round': True, 'algorithm': 'FedProx', 'paper': 'FedProx (MLSys 2020)', 'dataset_name': 'MNIST_FEDPROX', 'partition_method': 'fedprox_mnist', 'model_name': 'mnist_logistic', 'num_classes': 10, 'num_clients': 1000, 'clients_per_round': 10, 'local_epochs': 20, 'batch_size': 10, 'lr': 0.01, 'lr_decay': 1.0, 'mu': 0.01, 'client_train_frac': 0.9, 'drop_percent': 0.0, 'weight_decay': 0.0, 'server_lr': 1.0, 'paper_rounds': 200, 'rounds': 200, 'eval_interval': 1, 'experiments_subdir': 'fedprox_mnist', 'run_prefix': 'mnist_fedprox', 'wandb_project': 'federated-learning-fedprox-paper', 'summary_csv': 'D:\\论文-联邦学习\\联邦学习代码\\experiments\\mnist_fedprox_summaries.csv'}
TIMESTAMP: 20260611_142153
============================================================

[FedProx] Round 72/200 - Participants: 10, Avg Local Loss: 0.1744, Test Loss: 0.4063, Test Acc: 87.60%
[FedProx] Round 73/200 - Participants: 10, Avg Local Loss: 0.1169, Test Loss: 0.4045, Test Acc: 87.80%
[FedProx] Round 74/200 - Participants: 10, Avg Local Loss: 0.0930, Test Loss: 0.4031, Test Acc: 88.00%
[FedProx] Round 75/200 - Participants: 10, Avg Local Loss: 0.0766, Test Loss: 0.4018, Test Acc: 87.50%
[FedProx] Round 76/200 - Participants: 10, Avg Local Loss: 0.1033, Test Loss: 0.4019, Test Acc: 88.00%
[FedProx] Round 77/200 - Participants: 10, Avg Local Loss: 0.1183, Test Loss: 0.4021, Test Acc: 88.20%
[FedProx] Round 78/200 - Participants: 10, Avg Local Loss: 0.0967, Test Loss: 0.4000, Test Acc: 88.20%
[FedProx] Round 79/200 - Participants: 10, Avg Local Loss: 0.1479, Test Loss: 0.3981, Test Acc: 88.40%
[FedProx] Round 80/200 - Participants: 10, Avg Local Loss: 0.0692, Test Loss: 0.3969, Test Acc: 87.90%
[FedProx] Round 81/200 - Participants: 10, Avg Local Loss: 0.1234, Test Loss: 0.3953, Test Acc: 87.70%
[FedProx] Round 82/200 - Participants: 10, Avg Local Loss: 0.0973, Test Loss: 0.3961, Test Acc: 88.00%
[FedProx] Round 83/200 - Participants: 10, Avg Local Loss: 0.0919, Test Loss: 0.3923, Test Acc: 88.00%
[FedProx] Round 84/200 - Participants: 10, Avg Local Loss: 0.1129, Test Loss: 0.3923, Test Acc: 88.10%
[FedProx] Round 85/200 - Participants: 10, Avg Local Loss: 0.1222, Test Loss: 0.3927, Test Acc: 87.80%
[FedProx] Round 86/200 - Participants: 10, Avg Local Loss: 0.1081, Test Loss: 0.3911, Test Acc: 88.10%
[FedProx] Round 87/200 - Participants: 10, Avg Local Loss: 0.1140, Test Loss: 0.3921, Test Acc: 87.80%
[FedProx] Round 88/200 - Participants: 10, Avg Local Loss: 0.0679, Test Loss: 0.3916, Test Acc: 88.00%
[FedProx] Round 89/200 - Participants: 10, Avg Local Loss: 0.1252, Test Loss: 0.3923, Test Acc: 87.70%
[FedProx] Round 90/200 - Participants: 10, Avg Local Loss: 0.1464, Test Loss: 0.3899, Test Acc: 88.00%
[FedProx] Round 91/200 - Participants: 10, Avg Local Loss: 0.0867, Test Loss: 0.3904, Test Acc: 87.60%
[FedProx] Round 92/200 - Participants: 10, Avg Local Loss: 0.1224, Test Loss: 0.3897, Test Acc: 88.20%
[FedProx] Round 93/200 - Participants: 10, Avg Local Loss: 0.1031, Test Loss: 0.3876, Test Acc: 87.90%
[FedProx] Round 94/200 - Participants: 10, Avg Local Loss: 0.1446, Test Loss: 0.3864, Test Acc: 88.30%
[FedProx] Round 95/200 - Participants: 10, Avg Local Loss: 0.0922, Test Loss: 0.3867, Test Acc: 87.60%
